Strain	Variant category	Clade	Country	Division	Epidemiological Week	Location	originating_lab	Lineage	Region	submitting_lab	Collection Data	Author	Accession	url
USA/CT-JAX000799/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Litchfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-06	GLab team	[object Object]	
USA/CT-Yale-4498/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW17	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-26	GLab team	[object Object]	
USA/CT-JAX001113/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Hartford	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-JAX001121/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Litchfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-19	GLab team	[object Object]	
USA/CT-Yale-1890/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW05	New Haven	Connecticut DPH	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-01	GLab team	[object Object]	
USA/CT-Yale-1976/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW08	Fairfield	Murphy Medical Association	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-23	GLab team	[object Object]	
USA/CT-Yale-2743/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-20	GLab team	[object Object]	
USA/CT-Yale-4044/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/CT-JAX000358/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-16	GLab team	[object Object]	
USA/CT-JAX000301/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-15	GLab team	[object Object]	
USA/CT-JAX000210/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-10	GLab team	[object Object]	
USA/CT-JAX000585/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-Yale-3116/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-3115/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-Yale-3258/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-JAX000565/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-26	GLab team	[object Object]	
USA/CT-Yale-3279/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-28	GLab team	[object Object]	
USA/CT-Yale-3283/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-28	GLab team	[object Object]	
USA/CT-JAX000675/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-31	GLab team	[object Object]	
USA/CT-Yale-2819/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-19	GLab team	[object Object]	
USA/CT-JAX000609/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-23	GLab team	[object Object]	
USA/CT-JAX000567/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-24	GLab team	[object Object]	
USA/CT-Yale-3151/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/NY-Yale-2765/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	New York	2021_EW11	Rockland	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-19	GLab team	[object Object]	
USA/CT-JAX000266/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-06	GLab team	[object Object]	
USA/CT-Yale-2068/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW08	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-27	GLab team	[object Object]	
USA/CT-Yale-2625/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-17	GLab team	[object Object]	
USA/CT-Yale-2614/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW11	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-17	GLab team	[object Object]	
USA/CT-Yale-3693/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW14	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-07	GLab team	[object Object]	
USA/CT-JAX000269/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-06	GLab team	[object Object]	
USA/CT-JAX001160/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-20	GLab team	[object Object]	
USA/CT-Yale-3322/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-29	GLab team	[object Object]	
USA/CT-Yale-4846/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-07	GLab team	[object Object]	
USA/CT-Yale-4900/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	Fairfield	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-11	GLab team	[object Object]	
USA/CT-Yale-4802/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW18	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-04	GLab team	[object Object]	
USA/CT-JAX000341/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW09	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-06	GLab team	[object Object]	
USA/CT-JAX000778/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW13	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-01	GLab team	[object Object]	
USA/CT-JAX001009/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	Fairfield	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-12	GLab team	[object Object]	
USA/NY-Yale-2346/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	New York	2021_EW10	Bronx	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
USA/CT-Yale-2138/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
USA/CT-Yale-2373/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	Middlesex	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-10	GLab team	[object Object]	
USA/CT-Yale-2326/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-08	GLab team	[object Object]	
England/MILK-BFF546/2020	VOC (B.1.1.7)	B.1.1.7	United Kingdom	England	2020_EW49	England	Lighthouse Lab in Milton Keynes	B.1.1.7	Northern Europe	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	2020-12-02	The Lighthouse Lab in Milton Keynes et al	[object Object]	
USA/CT-Yale-P000001/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW10	New Haven	Yale Pathology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-09	GLab team	[object Object]	
USA/NY-Yale-S107/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	New York	2021_EW01	Westchester	Murphy Medical Association	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-01-08	GLab team	[object Object]	
USA/CT-Yale-3138/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW12	New Haven	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-03-25	GLab team	[object Object]	
USA/CT-JAX001030/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW15	New Haven	The Jackson Laboratory	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-14	GLab team	[object Object]	
USA/CT-Yale-4364/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW16	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-04-22	GLab team	[object Object]	
USA/CT-Yale-4795/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW19	New London	Yale Clinical Virology Lab	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-05-09	GLab team	[object Object]	
USA/CT-CDPH-0018/2021	VOC (B.1.1.7)	B.1.1.7	USA-Northeast	Connecticut	2021_EW08	Windham	Connecticut DPH	B.1.1.7	North America	Grubaugh Lab - Yale School of Public Health	2021-02-21	GLab team	[object Object]	
